id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,instanttomatosoup,0,-0.0083999829,0.9472,-0.6593999943,0.9732000012,-0.4303999899,0.9472,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,154.2142106127,-56.0477097579,115.846854291,0.00848476,0.000051462,0
1,instanttomatosoup,0,-0.0123999831,0.9472,-0.6563999942,0.9572000005,-0.43239999,0.9472,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-167.0670608282,56.6113512296,119.8162084376,0.008337143,0.000032181,1
2,instanttomatosoup,0,-0.2903999865,0.47,-0.0423999845,0.47,-0.8773999981,0.47,SIDE,0.4977798632,0.6589513792,0.2649782923,0.4977798632,-162.9665408453,113.9704993206,67.9595880276,0.00830757,0.000054017,2
3,instanttomatosoup,0,0.0346000159,0.47,-0.6563999942,0.9580000101,-0.3753999906,0.7530000069,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-167.0670608282,56.6113512296,119.8162084376,0.009651846,0.000057904,3
4,instanttomatosoup,0,0.0656000173,0.47,-0.6593999943,0.9730000076,-0.3873999879,0.8050000061,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,154.2142106127,-56.0477097579,115.846854291,0.011436757,0.000092621,4
5,instanttomatosoup,4.4408920985006262e-16,-0.299399987,0.47,-0.0583999853,0.47,-0.854399997,0.47,SIDE,0.5009361231,0.2774461465,-0.6489604279,-0.5009361231,150.4405566284,-104.4089854604,65.8160178175,0.009730382,0.000043612,5
6,instanttomatosoup,0,-0.0403999845,0.47,-0.5173999908,0.47,-0.3443999891,0.47,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-213.6546995413,74.732747927,120.9147988382,0.006133518,0.000028324,6
7,instanttomatosoup,0,-0.2983999869,0.47,-0.0843999865,0.47,-0.6753999951,0.47,SIDE,0.4977798632,0.6589513792,0.2649782923,0.4977798632,-208.957899395,133.5816862539,68.4026295793,0.006017621,0.00006587,7
8,instanttomatosoup,0,-0.3183999879,0.47,-0.1153999848,0.47,-0.6763999951,0.47,SIDE,0.5009361231,0.2774461465,-0.6489604279,-0.5009361231,196.8476084062,-123.0194778391,65.6286179327,0.008656994,0.000066684,8
9,instanttomatosoup,0,-0.2213999865,0.9472,-0.6883999924,0.9472,-0.520399991,0.9472,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-213.6546995413,74.732747927,120.9147988382,0.005085552,0.000014833,9
10,instanttomatosoup,0,-0.4943999897,0.9472,-0.2893999865,0.9472,-0.9373999977,0.9472,SIDE,0.5009361231,0.2774461465,-0.6489604279,-0.5009361231,176.3356915371,-114.7936402144,65.7114486817,0.007243544,0.000057069,10
11,instanttomatosoup,0,-0.2063999858,0.9472,-0.6903999925,0.9472,-0.522399991,0.9472,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,200.6403678553,-74.6104072797,115.6514459884,0.005870374,0.000016441,11
12,instanttomatosoup,0,-0.0243999837,0.47,-0.520399991,0.47,-0.3453999892,0.47,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,200.6403678553,-74.6104072797,115.6514459884,0.004983151,0.000015058,12
13,instanttomatosoup,0,-0.8023999946,0.9472,-0.5253999912,0.9472,-0.5163999908,0.9472,SIDE,0.4944765394,-0.2878421902,0.6543185597,-0.4944765394,-171.6326494032,58.3872480986,119.9238702964,0.006946763,0.000044264,13
14,instanttomatosoup,0,-0.791399994,0.9472,-0.5273999913,0.9472,-0.6063999918,0.9472,SIDE,0.4987862839,-0.2842674918,0.6493200128,-0.4987862839,-172.7672404681,58.8443535971,67.2174620659,0.005225787,0.000040742,14
15,instanttomatosoup,0,-0.8043999947,0.9472,-0.5293999914,0.9472,-0.520399991,0.9472,SIDE,0.5009760888,-0.6486223217,-0.2780917128,0.5009760888,160.5281680891,-58.5722366574,115.8202787615,0.00966459,0.000038985,15
16,instanttomatosoup,0,-0.589399991,0.47,-0.389399988,0.47,-0.3923999881,0.47,SIDE,0.4944765394,-0.2878421902,0.6543185597,-0.4944765394,-218.2202881164,76.5086447961,121.022460697,0.007231236,0.000037537,16
17,instanttomatosoup,0,-0.7663999961,0.9472,-0.563399993,0.9472,-0.564399993,0.9472,SIDE,0.4944765394,-0.2878421902,0.6543185597,-0.4944765394,-218.2202881164,76.5086447961,121.022460697,0.009411266,0.000042175,17
18,instanttomatosoup,0,-0.7703999963,0.9472,-0.5603999929,0.9472,-0.564399993,0.9472,SIDE,0.5009760888,-0.6486223217,-0.2780917128,0.5009760888,206.9543253316,-77.1349341792,115.6248704589,0.009839665,0.000052343,18
19,instanttomatosoup,0,-0.5923999911,0.47,-0.3863999878,0.47,-0.3913999881,0.47,SIDE,0.5009760888,-0.6486223217,-0.2780917128,0.5009760888,206.9543253316,-77.1349341792,115.6248704589,0.012636943,0.000069445,19
20,instanttomatosoup,0,-0.7953999942,0.9472,-0.5283999913,0.9472,-0.6013999915,0.9472,SIDE,0.5008504448,-0.6481761446,-0.2795806674,0.5008504448,159.808287678,-57.987516727,65.9035231659,0.007601865,0.00003463,20
21,instanttomatosoup,0,-0.6583999942,0.47,-0.4983999899,0.47,-0.3353999887,0.47,SIDE,0.5008504448,0.2795806674,-0.6481761446,-0.5008504448,212.2227718095,-78.8116610908,65.7114996607,0.004273936,0.000022506,21
22,instanttomatosoup,0,-0.8183999953,0.9472,-0.6763999951,0.9472,-0.5123999906,0.9472,SIDE,0.5008504448,0.2795806674,-0.6481761446,-0.5008504448,212.2227718095,-78.8116610908,65.7114996607,0.004763438,0.000033246,22
23,instanttomatosoup,0,-0.6583999942,0.47,-0.49939999,0.47,-0.3303999884,0.47,SIDE,0.4987862839,0.6493200128,0.2842674918,0.4987862839,-225.4800252385,79.4561707824,67.4919138694,0.004952349,0.000045267,23
24,instanttomatosoup,0,-0.8193999954,0.9472,-0.6773999951,0.9472,-0.5093999904,0.9472,SIDE,0.4987862839,0.6493200128,0.2842674918,0.4987862839,-225.4800252385,79.4561707824,67.4919138694,0.00850498,0.000042183,24
25,instanttomatosoup,0,-0.8503999968,0.47,-0.7533999955,0.47,-0.073399986,0.47,SIDE,0.5009361231,-0.6489604279,-0.2774461465,0.5009361231,188.215897231,-119.5579264393,65.6634743094,0.00097235,0.000032623,25
26,instanttomatosoup,0,-0.6903999925,0.6000000029,-0.4133999891,0.5840000022,-0.4473999907,0.7460000066,SIDE,0.4944765394,-0.2878421902,0.6543185597,-0.4944765394,-171.6326494032,58.3872480986,119.9238702964,0.019523004,0.000127017,26
27,instanttomatosoup,0,-0.8303999959,0.47,-0.7543999955,0.47,-0.052399985,0.47,SIDE,0.4977798632,-0.2649782923,0.6589513792,-0.4977798632,-199.4836799277,129.5417819137,68.3113630234,0.001908707,0.000036032,27
28,instanttomatosoup,0,-0.6963999928,0.6080000033,-0.390399988,0.4970000013,-0.3883999879,0.5180000023,SIDE,0.5009760888,-0.6486223217,-0.2780917128,0.5009760888,160.5281680891,-58.5722366574,115.8202787615,0.019326019,0.000149962,28
29,instanttomatosoup,0,-0.5393999919,1.3590000161,1.0986000338,1.5707963268,-0.5043999902,1.4550000174,SIDE,0.7069941665,-0.2662269053,-0.6551965227,-1.1777569149791453e-16,125.6031353653,-95.9294351653,116.4931886618,0.001101193,0.000030995,29
30,instanttomatosoup,0,-0.5393999919,1.3582000065,1.0986000338,1.5707963268,-0.5043999902,1.4552000078,SIDE,0.7069941665,-0.2662269053,-0.6551965227,-1.5703425533055269e-16,125.6031353653,-95.9294351653,116.4931886618,0.001090914,0.000027417,30
31,instanttomatosoup,0,0.0336000158,0.47,-0.051399985,0.47,-0.8723999979,0.47,SIDE,0.5001878867,0.6516168455,0.2738971388,0.5001878867,-164.736732536,111.0354343936,116.3190909184,0.01088834,0.000045768,31
32,instanttomatosoup,0,-0.9183999968,0.9472,-0.6763999951,0.9472,-0.4923999896,0.9472,SIDE,0.5008504448,0.2795806674,-0.6481761446,-0.5008504448,165.7560306186,-60.3505402249,65.8817332644,0.009571202,0.000066633,32
33,instanttomatosoup,0,-0.0273999838,0.47,-0.0913999836,0.47,-0.674399995,0.47,SIDE,0.5001878867,0.6516168455,0.2738971388,0.5001878867,-211.029820927,129.9285165836,116.2815065205,0.007807851,0.000031528,33
34,instanttomatosoup,0,-0.6763999951,0.580000002,-0.3913999881,0.4870000008,-0.5093999904,0.6720000031,SIDE,0.5008504448,-0.6481761446,-0.2795806674,0.5008504448,159.808287678,-57.987516727,65.9035231659,0.012509259,0.000104218,34
35,instanttomatosoup,0,-0.9173999968,0.9472,-0.6803999953,0.9472,-0.4893999895,0.9472,SIDE,0.4987862839,0.6493200128,0.2842674918,0.4987862839,-178.9139610243,61.2478517417,67.2494652801,0.008856536,0.000027385,35
36,instanttomatosoup,0,-0.5443999921,1.3520000158,1.0986000338,1.5707963268,-0.411399989,1.4190000157,SIDE,1.1771270110218014e-16,0.6544372144,-0.2670881661,0.7073724931,-137.3312234039,99.8507294087,116.3413408826,0.003173703,0.000033093,36
37,instanttomatosoup,0,-0.5443999921,1.3512000062,1.0986000338,1.5707963268,-0.411399989,1.4192000094,SIDE,1.1771270110218014e-16,0.6544372144,-0.2670881661,0.7073724931,-137.3312234039,99.8507294087,116.3413408826,0.003143877,0.000026674,37
38,instanttomatosoup,0,0.0276000155,0.47,-0.0583999853,0.47,-0.8613999974,0.47,SIDE,-0.4999203694,-0.2750430542,0.6515447543,0.4999203694,151.4508187401,-106.4321599437,116.5020747288,0.01304339,0.000054004,38
39,instanttomatosoup,0,-0.5853999908,0.47,-0.3853999878,0.47,-0.4603999914,0.47,SIDE,0.4987862839,-0.2842674918,0.6493200128,-0.4987862839,-219.3333046822,77.0526726377,67.4599106552,0.006599881,0.000027851,39
40,instanttomatosoup,0,-0.5883999909,0.47,-0.3883999879,0.47,-0.4623999915,0.47,SIDE,0.5008504448,-0.6481761446,-0.2795806674,0.5008504448,206.2750288688,-76.4486375928,65.7332895622,0.008872559,0.000082888,40
41,instanttomatosoup,0,-0.2163999863,0.9472,-0.2903999865,0.9472,-0.9123999965,0.9472,SIDE,-0.4999203694,-0.2750430542,0.6515447543,0.4999203694,184.9879555861,-120.0593509397,116.5136043207,0.00893157,0.000027081,41
42,instanttomatosoup,0,-0.7613999959,0.9472,-0.5623999929,0.9472,-0.6333999931,0.9472,SIDE,0.4987862839,-0.2842674918,0.6493200128,-0.4987862839,-219.3333046822,77.0526726377,67.4599106552,0.009409777,0.000036809,42
43,instanttomatosoup,0,-0.0343999842,0.47,-0.1103999845,0.47,-0.673399995,0.47,SIDE,-0.4999203694,-0.2750430542,0.6515447543,0.4999203694,197.7728306897,-125.2542468455,116.5179995794,0.006922336,0.000029727,43
44,instanttomatosoup,0,-0.7653999961,0.9472,-0.564399993,0.9472,-0.6373999932,0.9472,SIDE,0.5008504448,-0.6481761446,-0.2795806674,0.5008504448,206.2750288688,-76.4486375928,65.7332895622,0.008469737,0.000035429,44
45,instanttomatosoup,0,-0.7853999938,0.47,-0.5473999922,0.5470000037,-0.3343999886,0.47,SIDE,0.5008504448,0.2795806674,-0.6481761446,-0.5008504448,165.7560306186,-60.3505402249,65.8817332644,0.010551676,0.000083525,45
46,instanttomatosoup,0,-0.7833999969,0.47,-0.5493999923,0.5430000035,-0.3323999885,0.47,SIDE,0.4987862839,0.6493200128,0.2842674918,0.4987862839,-178.9139610243,61.2478517417,67.2494652801,0.009804274,0.000050017,46
47,instanttomatosoup,0,-0.7813999968,0.47,-0.721399994,0.47,-0.052399985,0.47,SIDE,-0.4999203694,0.6515447543,0.2750430542,-0.4999203694,194.8082224302,-124.0496334891,116.5169803892,0.000427028,0.000041794,47
48,instanttomatosoup,0,-0.7743999965,0.47,-0.7193999939,0.47,-0.0373999843,0.47,SIDE,0.5001878867,-0.2738971388,0.6516168455,-0.5001878867,-207.7893052272,128.6060010293,116.284137428,0.000722176,0.000043379,48
49,instanttomatosoup,0,-0.5793999938,0.9472,-0.3573999897,0.9472,-0.3353999887,0.9472,TOP,1.6709532720437669e-16,0.4180771015,0.9083934703,-0.005730649,-5.1144326546,3.070953851,324.9466631522,0.006257174,0.000005569,49
50,instanttomatosoup,0,-0.2673999887,0.9472,-0.6253999927,0.9472,-0.5153999907,0.9472,TOP,0.0040521808,0.9379563364,0.3467060293,-0.0040521808,-5.1005367072,3.1011468174,327.8464725333,0.005250427,0.000022825,50
51,instanttomatosoup,0,-0.4033999887,0.47,-0.1693999873,0.47,-0.163399987,0.47,TOP,0.005730649,0.9083934703,-0.4180771015,-1.5229545536627473e-16,-5.1187451905,3.061583619,324.0467222087,0.006023377,0.000007752,51
52,instanttomatosoup,0,-0.0853999833,0.47,-0.452399991,0.47,-0.341399989,0.47,TOP,0.0040521808,0.9379563364,0.3467060293,-0.0040521808,-5.1005367072,3.1011468174,327.8464725333,0.002966242,0.000016633,52
53,instanttomatosoup,0,-0.5733999935,0.9472,-0.3493999893,0.9472,-0.3443999891,0.9472,TOP,0.005730649,0.9083934703,-0.4180771015,-1.518180401456908e-16,-5.1187451905,3.061583619,324.0467222087,0.006350253,0.000006567,53
54,instanttomatosoup,0,-0.2853999863,0.9472,-0.6253999927,0.9472,-0.520399991,0.9472,TOP,-0.0040521808,-0.3467060293,0.9379563364,-0.0040521808,-5.1043700724,3.0928177223,327.0465250279,0.003277816,0.000017904,54
55,instanttomatosoup,0,-0.4073999888,0.47,-0.1763999877,0.47,-0.1543999866,0.47,TOP,1.6709532720437669e-16,0.4180771015,0.9083934703,-0.005730649,-5.1144326546,3.070953851,324.9466631522,0.00618684,0.000008648,55
56,instanttomatosoup,0,-0.1033999842,0.47,-0.4553999911,0.47,-0.3453999892,0.47,TOP,-0.0040521808,-0.3467060293,0.9379563364,-0.0040521808,-5.1043700724,3.0928177223,327.0465250279,0.003093809,0.000023221,56
57,instanttomatosoup,0,-0.5823999939,0.9472,-0.3603999899,0.9472,-0.3333999886,0.9472,TOP,1.6661791198379276e-16,0.4180771015,0.9083934703,-0.005730649,-5.3540179663,2.5503854392,274.949947186,0.006447127,0.000005928,57
58,instanttomatosoup,0,-0.5693999933,0.9472,-0.3483999893,0.9472,-0.3463999892,0.9472,TOP,0.005730649,0.9083934703,-0.4180771015,-1.5277287058685867e-16,-5.3583305022,2.5410152072,274.0500062424,0.006221755,0.000006026,58
59,instanttomatosoup,0,-0.5733999935,0.9240000085,-0.1803999878,0.47,-0.1523999865,0.47,TOP,1.6661791198379273e-16,0.4180771015,0.9083934703,-0.005730649,-5.3540179663,2.5503854392,274.949947186,0.007856679,0.000040329,59
60,instanttomatosoup,0,-0.5673999932,0.9420000094,-0.1673999872,0.47,-0.1663999872,0.47,TOP,0.005730649,0.9083934703,-0.4180771015,-1.5229545536627473e-16,-5.3583305022,2.5410152072,274.0500062424,0.008481054,0.000040112,60
61,instanttomatosoup,0,-0.1053999843,0.47,-0.611399992,0.9220000084,-0.43239999,0.7140000051,TOP,-0.0040521808,-0.3467060293,0.9379563364,-0.0040521808,-5.3439553842,2.5722493104,277.0498090617,0.022807473,0.000139499,61
62,instanttomatosoup,0,-0.0813999864,0.47,-0.610399992,0.8930000071,-0.4223999896,0.713000005,TOP,0.0040521808,0.9379563364,0.3467060293,-0.0040521808,-5.3401220189,2.5805784055,277.849756567,0.017810196,0.000109752,62
63,instanttomatosoup,0,-0.2873999864,0.9472,-0.6213999925,0.9472,-0.521399991,0.9472,TOP,-0.0040521808,-0.3467060293,0.9379563364,-0.0040521808,-5.3439553842,2.5722493104,277.0498090617,0.003572095,0.000012751,63
64,instanttomatosoup,0,-0.2633999885,0.9472,-0.631399993,0.9472,-0.5113999905,0.9472,TOP,0.0040521808,0.9379563364,0.3467060293,-0.0040521808,-5.3401220189,2.5805784055,277.849756567,0.004212237,0.00001513,64
